group,submitted,naming_status,naming_error_count,weights_dir_ok,memory_map_json_ok,student_hw_ok,core_csv_count,core_csv_ok,bin_count,bin_suffix_ok,correctness_status,correctness_fail_count,correctness_total,correctness_max_abs,correctness_rmse,eligible_for_profit,profit_status,baseline_total_cycles,candidate_total_cycles,raw_perf_ratio,Performance_scale,clock_scale_after_throttle,total_hardware_cost_multiplier,extra_cost_ratio,grading_cost_adjustment_ratio,system_power_multiplier,student_config,sim_log,message,profit_score
G01,YES,OK,0,YES,YES,YES,64,YES,11,YES,PASS,0,122,6.2584877e-07,1.23162501e-07,YES,OK,315259,4327559,0.0728491512,0.0728491512,1,1.20895083,0.208950832,0.101512084,1.23538462,/workspace/FP2/submission_g01/CA_FP2_G01/student_hw_G01.h,/workspace/FP2/outcome/G01/sim.log,OK,-97.2831286
G02,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G03,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G04,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G05,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G06,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G07,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G08,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G09,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G10,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G11,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G12,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G13,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G14,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G15,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G16,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G17,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G18,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G19,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G20,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G21,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G22,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G23,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G24,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G25,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
G26,NO,NOT_SUBMITTED,1,NO,NO,NO,0,NO,0,NO,NOT_CHECKED,,,,,NO,SKIPPED,,,,,,,,,,,,skip profit: submission/naming not OK,
